src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.245.13,192.168.245.255,137,137,17,2024-03-08 14:24:07,0.0,0,0,0,0,1,0,92,0,92,92,92.0,0.0,0,0,0,0.0,92,92,92.0,0.0,0.0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,0,0,1,0,92,0
192.168.20.238,192.168.20.255,138,138,17,2024-03-08 14:24:07,6307266.0,152.83959801283154,0.634189203372745,0.634189203372745,0.0,4,0,964,0,241,241,241.0,0.0,0,0,0,0.0,241,241,241.0,0.0,0.0,32,0,8,4,2102422.0,3494487.0,895842.0,1068969.1211396146,6307266.0,3494487.0,895842.0,2102422.0,1068969.1211396146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,241.0,0,0,0,0,0,0,1916937.0,1577550.0,1747243.5,169693.5,0,0,0,0,0,0,241.0,0,0,4,0,964,0
192.168.20.179,192.168.20.255,138,138,17,2024-03-08 14:24:07,0.0,0,0,0,0,1,0,238,0,238,238,238.0,0.0,0,0,0,0.0,238,238,238.0,0.0,0.0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,238.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.0,0,0,1,0,238,0
192.168.218.169,224.0.0.251,5353,5353,17,2024-03-08 14:24:07,0.0,0,0,0,0,1,0,139,0,139,139,139.0,0.0,0,0,0,0.0,139,139,139.0,0.0,0.0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.0,0,0,1,0,139,0
192.168.0.77,192.168.0.255,58741,50007,17,2024-03-08 14:24:07,4006878.9999999995,84.85407220931803,0.49914160123128254,0.49914160123128254,0.0,2,0,340,0,170,170,170.0,0.0,0,0,0,0.0,170,170,170.0,0.0,0.0,16,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.0,0,0,2,0,340,0
192.168.218.4,255.255.255.255,1046,1046,17,2024-03-08 14:24:07,7003659.0,81.1004647713431,1.1422600672020153,1.1422600672020153,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1000522.7142857143,1014502.0,993957.0,6127.923901856058,7003659.0,1014502.0,993957.0,1000522.7142857143,6127.923901856058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,8,0,568,0
192.168.0.77,255.255.255.255,1046,1046,17,2024-03-08 14:24:07,7003002.0,81.10807336625064,1.1423672305105723,1.1423672305105723,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1000428.8571428572,1014720.0,993394.0,6288.098245973929,7003002.0,1014720.0000000001,993394.0,1000428.8571428572,6288.098245973966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,8,0,568,0
192.168.1.88,255.255.255.255,1046,1046,17,2024-03-08 14:24:07,7002867.0,81.1096369529794,1.1423892528588648,1.1423892528588648,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1000409.5714285715,1015075.0,993182.0,6472.271004769785,7002867.0,1015075.0,993182.0,1000409.5714285715,6472.271004769785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,8,0,568,0
192.168.5.88,255.255.255.255,1046,1046,17,2024-03-08 14:24:07,7002320.0,81.11597299180843,1.1424784928423721,1.1424784928423721,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1000331.4285714285,1014538.0,992847.0,6310.888229472771,7002320.0,1014537.9999999999,992847.0,1000331.4285714285,6310.888229472733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,8,0,568,0
192.168.12.88,255.255.255.255,1046,1046,17,2024-03-08 14:24:07,7002591.0,81.11283380680094,1.1424342789690274,1.1424342789690274,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1000370.1428571428,1014744.0,993118.0,6354.725023354589,7002591.0,1014744.0000000001,993118.0,1000370.1428571428,6354.7250233546265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,8,0,568,0
192.168.50.88,255.255.255.255,1046,1046,17,2024-03-08 14:24:07,7002384.0,81.11523161254796,1.142468050880957,1.142468050880957,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1000340.5714285715,1014610.0,992825.0,6341.897144211273,7002384.0,1014610.0,992825.0,1000340.5714285715,6341.897144211273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,8,0,568,0
192.168.60.88,255.255.255.255,1046,1046,17,2024-03-08 14:24:07,7002113.0,81.11837098315894,1.1425122673684358,1.1425122673684358,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1000301.8571428572,1014450.0,992777.0,6304.1926055731565,7002113.0,1014450.0000000001,992777.0,1000301.8571428572,6304.192605573194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,8,0,568,0
192.168.77.77,255.255.255.255,1046,1046,17,2024-03-08 14:24:07,7002447.0,81.11450183057437,1.1424577722616107,1.1424577722616107,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1000349.5714285715,1014313.0,993149.0,6176.472591493415,7002447.0,1014313.0,993149.0,1000349.5714285715,6176.472591493419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,8,0,568,0
