src_ip,dst_ip,src_port,Destination Port,protocol,timestamp,Flow Duration,Flow Bytes/s,Flow Packets/s,Fwd Packets/s,Bwd Packets/s,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Max Packet Length,Min Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Fwd Header Length,Bwd Header Length,min_seg_size_forward,act_data_pkt_fwd,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Flow IAT Std,Fwd IAT Total,Fwd IAT Max,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Max,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Max,Active Min,Active Mean,Active Std,Idle Max,Idle Min,Idle Mean,Idle Std,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bulk Rate,Avg Fwd Segment Size,Avg Bwd Segment Size,CWE Flag Count,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Fwd Bytes,Subflow Bwd Bytes,Label
192.168.50.88,255.255.255.255,1046,1046,17,2024-03-08 14:07:33,6999584.0,81.1476796335325,1.1429250652610212,1.1429250652610212,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,999940.5714285716,1004842.0,997270.0,2544.181982324313,6999584.0,1004842.0,997270.0,999940.5714285716,2544.181982324313,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,8,0,568,0,BENIGN
192.168.60.88,255.255.255.255,1046,1046,17,2024-03-08 14:07:33,6999148.0,81.15273458998152,1.1429962618307257,1.1429962618307257,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,999878.2857142856,1004515.0,997252.0,2442.241342601137,6999148.0,1004515.0,997252.0,999878.2857142856,2442.241342601137,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,8,0,568,0,BENIGN
192.168.77.77,255.255.255.255,1046,1046,17,2024-03-08 14:07:33,6998789.0,81.15689728608763,1.143054891353347,1.143054891353347,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,999827.0,1004637.0,995980.0,2586.2306272146066,6998789.0,1004637.0,995980.0,999827.0,2586.230627214608,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,1000391.0,5494.0,502942.5,497448.5,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,8,0,568,0,BENIGN
192.168.88.77,255.255.255.255,1046,1046,17,2024-03-08 14:07:33,6998276.0,81.16284639245437,1.1431386815838644,1.1431386815838644,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,999753.7142857144,1004367.0,995502.0,2623.091726204334,6998276.0,1004367.0,995502.0,999753.7142857144,2623.091726204334,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,1000275.0,6242.0,503258.5,497016.5,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,8,0,568,0,BENIGN
192.168.125.19,255.255.255.255,1046,1046,17,2024-03-08 14:07:33,6998071.0,81.16522395957399,1.1431721684447045,1.1431721684447045,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,999724.4285714284,1004306.0,996005.0,2455.8336877811607,6998071.0,1004306.0,996005.0,999724.4285714284,2455.833687781127,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,1000201.0,5469.0,502835.0,497366.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,8,0,568,0,BENIGN
192.168.218.70,239.255.255.250,58597,1900,17,2024-03-08 14:07:33,3026452.0,286.8044826086784,1.3216796433579652,1.3216796433579652,0.0,4,0,868,0,217,217,217.0,0.0,0,0,0.0,0.0,217,217,217.0,0.0,0.0,32,0,8,4,1008817.3333333334,1012135.0,1004078.0,3439.444173441724,3026452.0,1012135.0,1004078.0,1008817.3333333334,3439.44417344174,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0,4,0,868,0,BENIGN
192.168.218.69,239.255.255.250,58598,1900,17,2024-03-08 14:07:33,3025710.0,286.874816158852,1.3220037611007005,1.3220037611007005,0.0,4,0,868,0,217,217,217.0,0.0,0,0,0.0,0.0,217,217,217.0,0.0,0.0,32,0,8,4,1008570.0,1012229.0,1003569.0,3660.5667138664016,3025710.0,1012229.0,1003569.0,1008570.0,3660.56671386644,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0,4,0,868,0,BENIGN
192.168.220.140,74.125.24.94,52826,443,6,2024-03-08 14:07:33,2948.0,41044.77611940298,678.4260515603798,339.2130257801899,339.2130257801899,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,1.0,60.5,1025,272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66,BENIGN
192.168.220.75,192.168.220.140,60101,995,6,2024-03-08 14:07:33,158.0,721518.9873417722,12658.227848101267,6329.113924050634,6329.113924050634,1,1,60,54,60,60,60.0,0.0,54,54,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,0,0,1.0,57.0,1024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,54.0,0,1,1,60,54,PortScan
192.168.220.75,192.168.220.140,60101,587,6,2024-03-08 14:07:33,218.0,522935.7798165137,9174.311926605504,4587.155963302752,4587.155963302752,1,1,60,54,60,60,60.0,0.0,54,54,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,0,0,1.0,57.0,1024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,54.0,0,1,1,60,54,PortScan
