src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label
192.168.220.140,40.99.10.2,52673,443,6,2024-03-08 14:00:59,15103338.0,471.2203355311256,1.258000052703581,0.6621052908966216,0.5958947618069594,10,9,5854,1263,1514,54,585.4,645.7900897350469,440,60,140.33333333333334,130.47349667014117,1514,54,374.578947368421,526.2555228653285,276944.8753462603,200,180,20,7,839074.3333333334,12956916.0,0.0,2970790.4160638605,15103338.0,12959834.0,0.0,1678148.6666666667,4032199.210925004,15100345.0,12960201.0,0.0,1887543.125,4229869.056935493,4,5,0,0,0,0,0,9,19,0,0,0.9,374.578947368421,1026,16385,12953711.0,2918.0,3729645.75,5380153.517178175,12953998.0,11895.0,2502215.6666666665,4722712.983751383,0.0,0.0,0.0,0.0,0.0,0,585.4,140.33333333333334,0,10,9,5854,1263,BENIGN
192.168.246.66,192.168.246.255,137,137,17,2024-03-08 14:00:59,763837.0,240.88909021165512,2.6183596762136423,2.6183596762136423,0.0,2,0,184,0,92,92,92.0,0.0,0,0,0.0,0.0,92,92,92.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,92.0,0.0,0,2,0,184,0,BENIGN
192.168.5.63,239.255.255.250,53390,1900,17,2024-03-08 14:00:59,1015000.0,427.5862068965517,1.9704433497536948,1.9704433497536948,0.0,2,0,434,0,217,217,217.0,0.0,0,0,0.0,0.0,217,217,217.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,217.0,0.0,0,2,0,434,0,BENIGN
192.168.218.4,192.168.218.255,58741,50007,17,2024-03-08 14:00:59,24045542.0,49.48942302901718,0.2911142531118658,0.2911142531118658,0.0,7,0,1190,0,170,170,170.0,0.0,0,0,0.0,0.0,170,170,170.0,0.0,0.0,56,0,8,7,4007590.3333333335,4010190.0,4005574.0,1740.2942918432566,24045542.0,4010190.0,4005574.0,4007590.3333333335,1740.2942918431936,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,170.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,170.0,0.0,0,7,0,1190,0,BENIGN
0.0.0.0,255.255.255.255,68,67,17,2024-03-08 14:00:59,23055972.0,134.02167559884268,0.3903543949480854,0.3903543949480854,0.0,9,0,3090,0,354,342,343.3333333333333,3.771236166328253,0,0,0.0,0.0,354,342,343.3333333333333,3.771236166328253,14.22222222222222,72,0,8,9,2881996.5,9057146.0,90895.0,3478028.741551204,23055972.0,9057146.0,90895.0,2881996.5,3478028.741551204,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,343.3333333333333,0,0,8900377.0,1418007.0,5159192.0,3741185.0,8851206.0,205940.0,3580872.25,3324087.245081902,0.0,0.0,0.0,0.0,0.0,0,343.3333333333333,0.0,0,9,0,3090,0,BENIGN
192.168.246.26,255.255.255.255,67,68,17,2024-03-08 14:00:59,23055972.0,133.50120307224523,0.3903543949480854,0.3903543949480854,0.0,9,0,3078,0,342,342,342.0,0.0,0,0,0.0,0.0,342,342,342.0,0.0,0.0,72,0,8,9,2881996.5,9057008.0,90895.0,3477956.603765493,23055972.0,9057008.0,90895.0,2881996.5,3477956.603765493,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,342.0,0,0,8900239.0,1418616.0,5159427.5,3740811.5,8850930.0,206078.0,3580894.75,3323853.684230653,0.0,0.0,0.0,0.0,0.0,0,342.0,0.0,0,9,0,3078,0,BENIGN
192.168.1.66,192.168.1.255,137,137,17,2024-03-08 14:01:00,7154638.0,64.2939586880566,0.6988473770440936,0.6988473770440936,0.0,5,0,460,0,92,92,92.0,0.0,0,0,0.0,0.0,92,92,92.0,0.0,0.0,40,0,8,5,1788659.5,4898999.0,750511.0,1795755.5513405076,7154638.0,4898999.0,750511.0,1788659.5,1795755.5513405076,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0.0,0.0,0.0,0.0,4146193.0,752806.0,2449499.5,1696693.5,0.0,0.0,0.0,0.0,0.0,0,92.0,0.0,0,5,0,460,0,BENIGN
192.168.218.4,255.255.255.255,1046,1046,17,2024-03-08 14:01:00,24015977.0,73.90913140864517,1.0409736818119038,1.0409736818119038,0.0,25,0,1775,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,200,0,8,25,1000665.7083333334,1013578.0,986493.0,6203.036927446417,24015977.0,1013578.0,986493.0,1000665.7083333334,6203.036927446439,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,17980.0,4307.0,10806.0,5569.230934339139,994979.0,5106.0,152494.42857142858,343963.80569176056,0.0,0.0,0.0,0.0,0.0,0,71.0,0.0,0,25,0,1775,0,BENIGN
192.168.0.77,255.255.255.255,1046,1046,17,2024-03-08 14:01:00,24016184.0,73.90849437196184,1.0409647094642511,1.0409647094642511,0.0,25,0,1775,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,200,0,8,25,1000674.3333333334,1013813.0,987043.0,6108.929848090325,24016184.0,1013813.0,987043.0,1000674.3333333334,6108.929848090328,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,17089.0,3838.0,10616.2,5523.881439712479,995320.0,5213.0,152388.42857142858,344149.3043503304,0.0,0.0,0.0,0.0,0.0,0,71.0,0.0,0,25,0,1775,0,BENIGN
192.168.1.88,255.255.255.255,1046,1046,17,2024-03-08 14:01:00,24016396.0,73.90784195930146,1.040955520553542,1.040955520553542,0.0,25,0,1775,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,200,0,8,25,1000683.1666666666,1014068.0,987252.0,6107.317473508498,24016396.0,1014068.0,987252.0,1000683.1666666666,6107.317473508478,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,16311.0,4400.0,12012.75,4853.418144720275,996141.0,7261.0,176983.5,366356.23847822857,0.0,0.0,0.0,0.0,0.0,0,71.0,0.0,0,25,0,1775,0,BENIGN
