src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.50.88,255.255.255.255,1046,1046,17,2024-03-08 14:05:23,8022833.0,79.6476755779411,1.1217982475766353,1.1217982475766353,0.0,9,0,639,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,72,0,8,9,1002854.125,1017099.0,995801.0,7644.377875888593,8022833.0,1017099.0,995801.0,1002854.125,7644.37787588862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,995801.0,11537.0,342878.6666666667,461703.00649106543,0,0,0,0,0,0,71.0,0,0,9,0,639,0
192.168.60.88,255.255.255.255,1046,1046,17,2024-03-08 14:05:23,8022500.000000001,79.65098161421002,1.1218448114677468,1.1218448114677468,0.0,9,0,639,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,72,0,8,9,1002812.5,1016790.0,995777.0,7598.632031490932,8022500.0,1016790.0000000001,995777.0,1002812.5,7598.632031490947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,995777.0,11324.0,342704.6666666667,461808.81585661485,0,0,0,0,0,0,71.0,0,0,9,0,639,0
192.168.77.77,255.255.255.255,1046,1046,17,2024-03-08 14:05:23,8022347.0,79.65250069586868,1.121866206984066,1.121866206984066,0.0,9,0,639,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,72,0,8,9,1002793.375,1016769.0,995468.0,7584.397783237308,8022347.0,1016769.0,995468.0,1002793.375,7584.397783237292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,995468.0,11019.0,342596.0,461669.3016788821,0,0,0,0,0,0,71.0,0,0,9,0,639,0
192.168.88.77,255.255.255.255,1046,1046,17,2024-03-08 14:05:23,8022868.000000001,79.64732811259016,1.1217933536984528,1.1217933536984528,0.0,9,0,639,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,72,0,8,9,1002858.5,1016642.0,995873.0,7559.122154721406,8022868.0,1016642.0,995873.0,1002858.5,7559.122154721406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,995873.0,11780.0,342807.3333333333,461801.74264456343,0,0,0,0,0,0,71.0,0,0,9,0,639,0
192.168.125.19,255.255.255.255,1046,1046,17,2024-03-08 14:05:23,8023512.999999999,79.6409253652359,1.1217031741582522,1.1217031741582522,0.0,9,0,639,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,72,0,8,9,1002939.125,1016603.0,996363.0,7603.668315975849,8023513.0,1016602.9999999999,996363.0,1002939.125,7603.668315975822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,996363.0,12503.0,343035.3333333333,461983.22142428026,0,0,0,0,0,0,71.0,0,0,9,0,639,0
192.168.246.85,239.255.255.250,58914,1900,17,2024-03-08 14:05:23,0.0,0,0,0,0,1,0,217,0,217,217,217.0,0.0,0,0,0,0.0,217,217,217.0,0.0,0.0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.0,0,0,1,0,217,0
192.168.246.84,192.168.246.255,56972,51007,17,2024-03-08 14:05:23,7011674.0,79.58156639912238,0.42785788386624934,0.42785788386624934,0.0,3,0,558,0,186,186,186.0,0.0,0,0,0,0.0,186,186,186.0,0.0,0.0,24,0,8,3,3505837.0,3506451.0,3505223.0,614.0,7011674.0,3506451.0,3505223.0,3505837.0,614.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,186.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.0,0,0,3,0,558,0
192.168.1.105,239.255.255.250,35676,1900,17,2024-03-08 14:05:23,1001362.0000000001,429.4151365839726,1.997279705041733,1.997279705041733,0.0,2,0,430,0,215,215,215.0,0.0,0,0,0,0.0,215,215,215.0,0.0,0.0,16,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,215.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.0,0,0,2,0,430,0
192.168.0.181,239.255.255.250,54161,1900,17,2024-03-08 14:05:23,0.0,0,0,0,0,1,0,216,0,216,216,216.0,0.0,0,0,0,0.0,216,216,216.0,0.0,0.0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.0,0,0,1,0,216,0
192.168.0.181,239.255.255.250,54160,1900,17,2024-03-08 14:05:23,0.0,0,0,0,0,1,0,217,0,217,217,217.0,0.0,0,0,0,0.0,217,217,217.0,0.0,0.0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.0,0,0,1,0,217,0
